yp8635	p485428
yp86690	p880517
yp1744	p1393511
yp19720	p1974505
yp90186	p1208288
yp2738	p364007
yp32769	p2244844
yp16860	p522167
yp330	p338264
yp4299	p880700
yp17931	p1495571
yp5874	p1529686
yp9137	p1737096
yp19551	p1614128
yp1512	p1172252
yp3020	p505882
yp10262	p41544
yp15665	p1527553
yp16913	p1747341
yp19592	p581501
yp8280	p1413938
yp10255	p1961428
yp89383	p2256129
yp6866	p2278894
yp28994	p2185888
yp19802	p404833
yp54262	p2251109
yp21496	p373810
yp4805	p2117375
yp24894	p433558
yp10713	p630668
yp22730	p2065214
yp7193	p1214299
yp5093	p598669
yp9080	p265125
yp12191	p458940
yp6354	p721641
yp1607	p2121885
yp20503	p572379
yp29821	p850069
yp18057	p346187
yp87708	p2172807
yp18152	p1825562
yp4957	p1931630
yp18310	p407484
yp76	p21819
yp87547	p2255095
yp13720	p786584
yp6481	p1700125
yp90672	p323731
yp2133	p1559940
yp22093	p2052761
yp8217	p1537221
yp21292	p1171339
yp16848	p2061706
yp57696	p468685
yp20161	p106955
yp17379	p1997651
yp18034	p413946
yp43495	p979132
yp31906	p1033017
yp1798	p1308102
yp18613	p384314
yp32508	p1338153
yp26625	p2162360
yp12441	p200835
yp1874	p1443604
yp4100	p466090
yp3751	p1229961
yp46086	p2231817
yp3754	p1917785
yp16182	p1391111
yp86487	p466603
yp20559	p1332858
yp53470	p781263
yp1045	p327552
yp60144	p2158583
yp26230	p1120086
yp11501	p2016878
yp12859	p637834
yp19460	p1445070
yp13499	p363542
yp5158	p1796478
yp17594	p271994
yp7538	p557800
yp6392	p1806070
yp87160	p1332343
yp12477	p1663047
yp13206	p1644122
yp13838	p658262
yp1993	p419463
yp11884	p892509
yp14714	p203080
yp468	p1666112
yp2164	p1940666
yp401	p1330951
yp89242	p733233
yp2340	p929716
yp9646	p435470
yp5023	p1296548
yp6840	p1303546
yp6003	p1764882
yp13408	p1864939
yp20061	p89271
yp86316	p2207816
yp2388	p461030
yp21123	p1473786
yp16821	tt2031113
yp2263	p447113
yp56483	p2629147
yp20828	p17454
yp18245	p1935237
yp91151	p590183
yp3925	p2123142
yp18578	p1747042
yp10615	p127507
yp2103	p1607209
yp15534	p1985128
yp33245	p852031
yp15404	p1670693
yp10227	p1484305
yp2280	p1791263
yp8095	p878574
yp4920	p1350458
yp16345	p1064593
yp3298	p293138
yp5341	p2124271
yp35488	p2226784
yp7733	p1362924
yp12006	p1799516
yp19332	p1605304
yp41722	p1008669
yp1018644	p1012256
yp1052024	p1105782
yp30515	p1278455
yp1210779	p136148
yp1206374	p137303
yp1161363	p1452804
yp1037576	p1487322
yp934754	p1629452
yp34308	p164610
yp1245139	p1725366
yp1164266	p1728740
yp957031	p1735257
yp990714	p1818215
yp978750	p1827577
yp100762	p2033296
yp930120	p2097769
yp1044985	p2185634
yp25096	p2433897
yp28880	p2598734
yp1115201	p2926757
yp91229	p410534
yp1177608	p547177
yp1285854	p924590
