ym156374	tt0093854
ym164699	tt0062673
ym146237	tt0051435
ym145159	tt0041699
ym147210	tt0451850
ym158898	tt0060310
ym155043	tt0003475
ym171447	tt0039016
ym175339	tt0054004
ym154537	tt0072228
ym144730	tt0272338
ym166243	tt0009550
ym169870	tt0978764
ym176989	tt0387412
ym171737	tt1667838
ym167251	tt0062408
ym161359	tt0270572
ym160999	tt0111054
ym179191	tt0233263
ym180102	tt0806031
ym169724	tt0092812
ym164675	tt0019277
ym165343	tt1024744
ym143145	tt0103639
ym162270	tt1018102
ym156209	tt0420982
ym164590	tt0976238
ym168835	tt1100119
ym159908	tt0445171
ym163238	tt0375791
ym163991	tt0012734
ym148533	tt0406097
ym148156	tt0097647
ym160504	tt0988047
ym148540	tt0023584
ym174317	tt0038753
ym167504	tt0204800
ym168888	tt1230544
ym163342	tt0006770
ym183630	tt0293007
ym166665	tt0093562
ym157503	tt0070825
ym151597	tt0020629
ym182925	tt0023657
ym156323	tt0164987
ym158735	tt0431308
ym161141	tt0113533
ym162759	tt0035182
ym166705	tt0104003
ym148045	tt0042643
ym145447	tt0360201
ym148259	tt0084509
ym173903	tt0292267
ym165962	tt0003288
ym147250	tt0434409
ym175507	tt1536410
ym143674	tt0035140
ym179677	tt0833500
ym154167	tt0057521
ym174740	tt0047376
ym161585	tt0066728
ym169521	tt0079444
ym146100	tt0120184
ym149001	tt0154159
ym161182	tt0003953
ym152473	tt0060345
ym158976	tt0234261
ym156276	tt0032007
ym174771	tt0244549
ym159624	tt0071206
ym180409	tt0064542
ym169606	tt0008395
ym149418	tt0420127
ym163815	tt0804529
ym182255	tt0035345
ym176905	tt0105114
ym158340	tt0202967
ym181785	tt0080604
ym166270	tt0005192
ym156371	tt0086135
ym143583	tt0119654
ym158716	tt0084921
ym154534	tt0110391
ym169478	tt0193283
ym143227	tt0005960
ym173439	tt1470171
ym150078	tt0037098
ym149071	tt00115900
ym154262	tt0101812
ym149750	tt0112255
ym158542	tt0025134
ym152437	tt0180837
ym151035	tt0034549
ym145414	tt0293662
ym182995	tt0102583
ym145420	tt0120877
ym168803	tt0049315
ym144379	tt119361
ym170237	tt0061565
ym151810	tt0069282
ym160648	tt0388573
ym155654	tt0960082
ym165213	tt0016929
ym160411	tt0140840
ym145023	tt0019901
ym167708	tt0335592
ym156710	tt0411098
ym149556	tt0052639
ym144966	tt0107863
ym168258	tt0257930
ym157880	tt0192382
ym158022	tt0022811
ym168833	tt1245112
ym146894	tt0263488
ym168263	tt0051114
ym170476	tt0075846
ym184246	tt0068658
ym150493	tt0418773
ym155655	tt0078259
ym158157	tt0986329
ym161578	tt0100148
ym159765	tt0029734
ym149235	tt0072405
ym152386	tt0094033
ym151588	tt0079080
ym157063	tt0034428
ym161557	tt0123297
ym172838	tt0257508
ym171323	tt0094183
ym174799	tt0028471
ym143166	tt0085482
ym162552	tt0206539
ym162703	tt0005342
ym182770	tt0029462
ym150156	tt0091003
ym153663	tt0101756
ym176906	tt0052199
ym145664	tt0375173
ym171129	tt0048209
ym153749	tt0045679
ym179378	tt0048649
ym146492	tt0036777
ym172761	tt0070704
ym174224	tt0052398
ym161270	tt0962736
ym142980	tt0027698
ym170697	tt1346973
ym145198	tt0052564
ym176367	tt1680096
ym166253	tt1018887
ym171610	tt0098607
ym160483	tt0102500
ym152000	tt0491747
ym152212	tt0263957
ym164518	tt0016407
ym164168	tt0008177
ym171953	tt0069786
ym145087	tt0114694
ym146957	tt0078158
ym162188	tt0255212
ym154804	tt0002429
ym163206	tt0018926
ym144433	tt0096486
ym166718	tt0241776
ym172361	tt0139581
ym159797	tt0004282
ym159594	tt0030817
ym174013	tt0267810
ym158222	tt0277615
ym178267	tt0312848
ym153690	tt0110438
ym171313	tt0017420
ym149106	tt0168501
ym175537	tt0383317
ym174569	tt0093225
ym164491	tt0015015
ym156943	tt0048542
ym175783	tt0116056
ym176915	tt0381681
ym160735	tt0072603
ym172597	tt231652
ym152168	tt0488151
ym170591	tt0098222
ym164157	tt0008176
ym146817	tt0048500
ym148261	tt0456912
ym162856	tt0756683
ym157819	tt0100046
ym165127	tt0033836
ym159869	tt0098087
ym163682	tt0027585
ym143871	tt0093409
ym154976	tt0939911
ym161048	tt0462396
ym170722	tt0183700
ym145953	tt0068168
ym178859	tt0035819
ym162676	tt0005360
ym147090	tt0318411
ym176209	tt1197613
ym177092	tt0028119
ym161911	tt0046238
ym183755	tt0843335
ym174886	tt1352712
ym173501	tt0135618
ym179945	tt0995757
ym167523	tt0027147
ym168715	tt0276925
ym162928	tt0008209
ym181707	tt1014762
ym165784	tt1047833
ym148448	tt0051128
ym170367	tt0455407
ym166844	tt0312363
ym167101	tt0010227
ym154615	tt0083232
ym176964	tt0230512
ym176255	tt1186363
ym144120	tt0103786
ym176177	tt0041949
ym177477	tt0470610
ym171273	tt0058610
ym159692	tt0036349
ym183867	tt0223046
ym163271	tt0034780
ym169494	tt0082410
ym163354	tt0481581
ym144118	tt0107614
ym161669	tt0211792
ym166334	tt0000826
ym158981	tt0298327
ym154983	tt0121395
ym156831	tt45963
ym160974	tt0119592
ym179222	tt0198512
ym177462	tt0457496
ym157111	tt0116001
ym167559	tt0387233
ym176100	tt1536048
ym181792	tt0057238
ym157990	tt0097810
ym174247	tt0060532
ym165383	tt0220760
ym163895	tt0997157
ym161883	tt0003156
ym146037	tt0082926
ym161732	tt0210626
ym177759	tt0705252
ym168794	tt0055436
ym145782	tt0338095
ym165864	tt0042275
ym149336	tt0083629
ym177138	tt0433722
ym144903	tt0097162
ym153231	tt0120835
ym167592	tt0100274
ym156590	tt0433398
ym180943	tt0177539
ym150394	tt0113497
ym146650	tt0081043
ym146073	tt0120008
ym147688	tt0070488
ym148385	tt0093171
ym155854	tt0032184
ym155972	tt0338495
ym155615	tt0256829
ym173681	tt0214054
ym168827	tt0059575
ym170543	tt0109368
ym160649	tt1012897
ym154507	tt0092559
ym152974	tt0051532
ym170570	tt0940765
ym180942	tt0189009
ym167901	tt0416654
ym158343	tt0478566
ym144244	tt0054167
ym171629	tt0477080
ym147093	tt0079714
ym173331	tt0245865
ym168464	tt0117015
ym157003	tt0079875
ym177189	tt0045585
ym143550	tt0122690
ym180259	tt0031304
ym155626	tt0005043
ym151130	tt0050233
ym177909	tt0088960
ym156503	tt0075393
ym169496	tt0191280
ym148606	tt0044557
ym147728	tt1068956
ym143494	tt0057007
ym159253	tt0247296
ym180604	tt0067456
ym156465	tt0099166
ym156795	tt0068673
ym153792	tt0091814
ym156477	tt0281872
ym183974	tt0431611
ym166516	tt1038686
ym146774	tt0072034
ym146903	tt0116745
ym150509	tt416499
ym152736	tt0158375
ym177917	tt0038865
ym178011	tt0028696
ym178569	tt0034547
ym179264	tt0060869
ym161264	tt0193449
ym443336	tt0104710
ym180106	tt0150554
ym180122	tt0153428
ym524444	tt0073578
ym180909	tt0142982
ym181740	tt0000969
ym171604	tt0187433
ym567844	tt0927739
