ym142980	1936-04-08
ym143145	1992-11-25
ym143166	1984-01-11
ym143227	1915-##-##
ym143550	1998-09-12
ym143583	1997-07-02
ym143674	1942-10-22
ym143871	1987-03-06
ym144433	1989-08-04
ym144903	1989-04-07
ym145023	1929-##-##
ym145198	1959-11-23
ym145420	1998-04-15
ym145447	2004-09-17
ym146037	1981-05-29
ym146100	1998-02-13
ym146237	1958-##-##
ym146774	1975-03-14
ym146903	1996-08-16
ym146957	1978-03-10
ym147090	2002-08-30
ym148156	1989-06-30
ym148259	1982-10-21
ym148385	1988-01-29
ym148540	1932-04-08
ym148606	1952-07-18
ym149071	1996-04-25
ym149106	1999-10-22
ym149336	1982-02-12
ym150394	1995-12-15
ym150493	2005-08-05
ym151035	1942-##-##
ym151130	1955-##-##
ym152386	1987-11-06
ym152473	1966-12-18
ym152736	1969-##-##
ym153663	1991-03-02
ym153690	1994-09-24
ym153749	1953-05-08
ym153792	1986-02-14
ym154167	1963-03-26
ym154534	1994-10-21
ym154537	1974-##-##
ym154976	2006-##-##
ym154983	1995-##-##
ym155043	1913-12-08
ym155854	1940-06-28
ym155972	2003-##-##
ym156276	1939-06-16
ym156465	1990-10-15
ym156503	1976-09-09
ym156795	1972-09-20
ym157003	1979-08-17
ym157063	1942-09-04
ym157111	1996-##-##
ym157990	1989-##-##
ym158022	1932-##-##
ym158222	2002-02-28
ym158343	2006-##-##
ym158542	1934-01-26
ym158898	1966-##-##
ym158976	1972-##-##
ym159253	1975-##-##
ym159594	1938-12-22
ym159692	1943-04-30
ym159797	1914-06-20
ym159908	1977-01-10
ym160735	1974-##-##
ym160999	1995-01-##
ym161048	2007-04-06
ym161141	1995-03-31
ym161270	2009-03-06
ym161359	1917-11-15
ym161669	2000-##-##
ym161911	1953-07-10
ym162676	1915-05-19
ym162703	1915-12-08
ym162759	1942-05-29
ym162928	1917-09-02
ym163206	1928-09-02
ym163354	2006-11-03
ym163682	1936-##-##
ym163895	2007-09-08
ym163991	1921-11-05
ym164157	1917-##-##
ym164168	1918-##-##
ym164590	2009-11-25
ym164675	1928-09-##
ym164699	1968-07-24
ym165213	1926-##-##
ym165343	2009-06-06
ym165383	2000-06-11
ym165864	1950-08-27
ym166270	1915-06-16
ym166516	2010-01-22
ym166718	1911-12-##
ym166844	1968-##-##
ym167101	1919-11-30
ym167251	1967-07-14
ym167523	1935-09-12
ym168464	1996-08-29
ym168715	1972-##-##
ym168803	1956-##-##
ym169478	1999-02-18
ym169496	1982-12-10
ym169606	1917-##-##
ym170237	1967-##-##
ym171273	1965-08-16
ym171313	1925-12-20
ym171323	1987-05-##
ym173439	2010-08-24
ym173903	1995-##-##
ym174013	1983-##-##
ym174224	1957-12-##
ym174317	1946-11-09
ym174569	1988-01-##
ym174740	1954-09-14
ym174771	1996-##-##
ym174799	1936-02-15
ym175339	1960-07-15
ym175537	1973-12-01
ym176100	2010-##-##
ym176177	1949-11-18
ym176255	2009-##-##
ym176367	2010-##-##
ym176905	1991-##-##
ym176964	2004-03-26
ym176989	2004-01-21
ym177138	2004-##-##
ym177189	1953-08-08
ym177462	2005-##-##
ym177917	1946-03-02
ym178267	2003-03-13
ym178569	1942-07-18
ym179191	1965-##-##
ym179264	1966-##-##
ym180106	1954-10-25
ym180409	-1970-01-05
ym180604	1971-##-##
ym180943	1972-##-##
ym181785	1980-##-##
ym182255	1942-08-07
ym182770	1937-06-30
ym182925	1932-08-18
ym182995	1993-03-03
ym183630	2003-03-21
ym183867	1968-##-##
ym183974	1996-##-##
ym184246	1974-##-##
ym524444	1975-##-##
ym567844	2006-03-##
ym144118	1993-11-24
ym144966	1993-05-14
ym145087	1995-03-31
ym146073	1998-02-06
ym147093	1979-03-28
ym147688	1973-##-##
ym147728	2007-07-20
ym148045	1950-12-01
ym148261	2005-04-01
ym148448	1957-##-##
ym149001	1975-08-18
ym149418	1969-##-##
ym149750	1995-03-10
ym150156	1986-01-31
ym150509	2004-08-12
ym151810	1973-##-##
ym152000	2006-##-##
ym152168	2006-05-28
ym152212	2000-03-08
ym154262	1990-09-10
ym154507	1988-01-01
ym155654	2006-##-##
ym156209	2005-05-24
ym156323	1998-12-11
ym156374	1987-01-09
ym156710	2005-09-01
ym157503	1973-##-##
ym157819	1990-12-21
ym158157	2006-12-29
ym158716	1982-##-##
ym159869	1988-##-##
ym160504	2008-08-27
ym160648	2004-##-##
ym160649	2007-11-11
ym161182	1914-06-06
ym161264	1993-07-09
ym161557	1926-07-04
ym161585	1971-06-30
ym161732	1983-##-##
ym162270	2008-02-08
ym162856	2007-11-13
ym163271	1942-11-28
ym163342	1916-04-23
ym165784	2008-09-19
ym165962	1913-08-16
ym166243	1918-08-03
ym166665	1987-09-27
ym166705	1992-05-13
ym167559	2004-##-##
ym168258	2001-09-07
ym168263	1957-02-22
ym168794	1961-10-##
ym168835	2009-08-21
ym168888	2009-02-05
ym169494	1981-##-##
ym170476	1977-12-26
ym170543	1994-11-25
ym170722	2000-11-03
ym171610	1988-##-##
ym171737	2010-07-02
ym172761	1973-09-26
ym173501	1956-##-##
ym175507	2011-##-##
ym175783	1996-06-15
ym176906	1957-##-##
ym178011	1937-10-30
ym178859	1943-##-##
ym179378	1955-09-17
ym180102	1996-09-##
ym180909	1951-05-28
ym180942	1998-##-##
ym183755	2006-12-25
ym143145	1992-11-25
ym143227	1915-##-##
ym143494	1963-06-12
ym143674	1942-10-22
ym143871	1987-03-06
ym144379	1997-08-01
ym144433	1989-08-04
ym144730	2002-11-01
ym145023	1929-##-##
ym145159	1949-10-17
ym145447	2004-09-17
ym145664	2004-11-05
ym145782	2003-06-18
ym145953	1972-12-19
ym146037	1981-05-29
ym146073	1998-02-06
ym146237	1958-##-##
ym146650	1981-10-18
ym146957	1978-03-10
ym147093	1979-03-28
ym147210	2005-06-22
ym147688	1973-##-##
ym147728	2007-07-20
ym148045	1950-12-01
ym148261	2005-04-01
ym148448	1957-##-##
ym148533	2006-10-13
ym149106	1999-10-22
ym149235	1975-##-##
ym149418	1969-##-##
ym150394	1995-12-15
ym150493	2005-08-05
ym151035	1942-##-##
ym151130	1955-##-##
ym151588	1979-##-##
ym152168	2006-05-28
ym152212	2000-03-08
ym152473	1966-12-18
ym152736	1969-##-##
ym153663	1991-03-02
ym154167	1963-03-26
ym154507	1988-01-01
ym154615	1981-##-##
ym154804	1912-11-03
ym154983	1995-##-##
ym155615	1915-03-24
ym155654	2006-##-##
ym155854	1940-06-28
ym155972	2003-##-##
ym156276	1939-06-16
ym156323	1998-12-11
ym156371	1983-11-25
ym156465	1990-10-15
ym156477	1970-02-##
ym156503	1976-09-09
ym156710	2005-09-01
ym156795	1972-09-20
ym156831	1953-11-26
ym156943	1955-07-06
ym157003	1979-08-17
ym157111	1996-##-##
ym157503	1973-##-##
ym157819	1990-12-21
ym157880	1939-07-04
ym157990	1989-##-##
ym158022	1932-##-##
ym158157	2006-12-29
ym158222	2002-02-28
ym158340	1986-04-12
ym158343	2006-##-##
ym158542	1934-01-26
ym158898	1966-##-##
ym158981	1976-09-06
ym159253	1975-##-##
ym160411	1969-##-##
ym160504	2008-08-27
ym160648	2004-##-##
ym160649	2007-11-11
ym160974	1997-11-07
ym161141	1995-03-31
ym161264	1993-07-09
ym161270	2009-03-06
ym161669	2000-##-##
ym161911	1953-07-10
ym162188	2000-08-24
ym162270	2008-02-08
ym162676	1915-05-19
ym162703	1915-12-08
ym162759	1942-05-29
ym162856	2007-11-13
ym162928	1917-09-02
ym163206	1928-09-02
ym163238	1995-09-07
ym163271	1942-11-28
ym163354	2006-11-03
ym163682	1936-##-##
ym163815	2008-01-19
ym164590	2009-11-25
ym164699	1968-07-24
ym165127	1941-08-21
ym165213	1926-##-##
ym165343	2009-06-06
ym165383	2000-06-11
ym166243	1918-08-03
ym166270	1915-06-16
ym166705	1992-05-13
ym166844	1968-##-##
ym167251	1967-07-14
ym167504	1935-06-14
ym167559	2004-##-##
ym167592	1990-05-23
ym167708	2002-10-11
ym168464	1996-08-29
ym168715	1972-##-##
ym168794	1961-10-##
ym168835	2009-08-21
ym169496	1982-12-10
ym169724	1987-06-05
ym169870	2011-03-25
ym170237	1967-##-##
ym170476	1977-12-26
ym170543	1994-11-25
ym170570	2007-11-02
ym170591	1989-03-17
ym170697	2009-05-##
ym170722	2000-11-03
ym171273	1965-08-16
ym171313	1925-12-20
ym171447	1945-##-##
ym171610	1988-##-##
ym171629	2010-11-12
ym171953	1974-03-07
ym172597	1971-01-15
ym172761	1973-09-26
ym173501	1956-##-##
ym174013	1983-##-##
ym174224	1957-12-##
ym174247	1966-07-##
ym174317	1946-11-09
ym174886	2009-##-##
ym175339	1960-07-15
ym175537	1973-12-01
ym176100	2010-##-##
ym176209	2009-03-01
ym176255	2009-##-##
ym176905	1991-##-##
ym176906	1957-##-##
ym176915	2004-02-10
ym177189	1953-08-08
ym177477	2005-##-##
ym177909	1985-12-20
ym177917	1946-03-02
ym178011	1937-10-30
ym178267	2003-03-13
ym178859	1943-##-##
ym179191	1965-##-##
ym179264	1966-##-##
ym179945	2008-03-20
ym180122	1954-05-10
ym180259	1939-08-08
ym180409	-1970-01-05
ym180943	1972-##-##
ym181707	2009-06-05
ym181740	1909-11-27
ym181785	1980-##-##
ym182255	1942-08-07
ym182770	1937-06-30
ym182925	1932-08-18
ym183867	1968-##-##
ym184246	1974-##-##
ym443336	1993-02-26
ym524444	1975-##-##
ym567844	2006-03-##
