ym164814	tt1111422
ym153901	tt0062363
ym155453	tt0462465
ym150896	tt0458471
ym171897	tt0028659
ym175421	tt0024144
ym178271	tt0303321
ym183447	tt0205493
ym165482	tt0008224
ym157762	tt0257850
ym165519	tt0026185
ym174396	tt0149244
ym183530	tt0022587
ym174964	tt0076031
ym148769	tt0162973
ym146074	tt0380689
ym167480	tt0272092
ym147951	tt0087592
ym148367	tt0384537
ym181716	tt1285210
ym165914	tt0011679
ym164450	tt1131734
ym180590	tt0028896
ym167843	tt0083737
ym174672	tt0049571
ym157419	tt0103111
ym164707	tt0991167
ym163280	tt0036094
ym170121	tt0070845
ym151923	tt0415280
ym173833	tt0231933
ym173363	tt1414378
ym149980	tt0087062
ym150016	tt0412523
ym182704	tt0049621
ym179765	tt0048757
ym156346	tt0387357
ym175009	tt198448
ym156705	tt0795351
ym153833	tt0385782
ym180536	tt0248399
ym179485	tt0004685
ym149268	tt0074263
ym175911	tt0145682
ym163623	tt0178177
ym181404	tt0061228
ym182088	tt0025177
ym149711	tt0080497
ym158014	tt0050231
ym154052	tt0329767
ym155726	tt0108001
ym155063	tt54936
ym181045	tt0300652
ym150838	tt0460810
ym159411	tt0186834
ym183409	tt0162950
ym183185	tt0470128
ym156252	tt0900357
ym178196	tt0075656
ym169123	tt0039413
ym156082	tt0244374
ym152281	tt0095326
ym174712	tt0063751
ym173420	tt0427152
ym181097	tt0202952
ym168658	tt1186370
ym171670	tt0040871
ym172173	tt1252610
ym148587	tt0387973
ym169518	tt1104806
ym183701	tt0492714
ym152137	tt0285728
ym158406	tt0021400
ym182241	tt0106271
ym148484	tt0105619
ym179563	tt0297726
ym179350	tt0269290
ym176911	tt0030522
ym161759	tt0234393
ym175339	tt0054004
ym145425	tt0055024
ym175200	tt1498569
ym182010	tt0032312
ym180505	tt0234858
ym163168	tt0053243
ym170477	tt0083115
ym156198	tt0872190
ym168316	tt038460
ym149951	tt0041098
ym162142	tt0016811
ym152802	tt0036275
ym177886	tt0203425
ym169387	tt0044799
ym154438	tt0158092
ym175084	tt1612612
ym184014	tt0081201
ym153947	tt0454953
ym149911	tt0060474
ym180657	tt0124269
ym183632	tt0484855
ym158645	tt0855895
ym174023	tt0023816
ym153685	tt0064253
