yp8387	p689698
yp52397	p967424
yp15819	p1896782
yp3330	p194739
yp15862	p363167
yp89977	p2789679
yp24662	p237693
yp16475	p491779
yp20	p1535203
yp4509	p722838
yp61709	p571845
yp87028	p2263647
yp87331	p456461
yp17107	p2032801
yp6199	p465611
yp16143	p441314
yp21354	p1150148
yp15184	p854739
yp88332	p2002905
yp86813	p2156059
yp88109	p2150648
yp16866	p1071112
yp16621	p1653650
yp86615	p904568
yp22147	p1364835
yp86690	p880517
yp5849	p1222998
yp13826	p526145
yp90139	p661475
yp5425	p1262074
yp16493	p1847565
yp9215	p2053265
yp9111	p1395974
yp9478	p1325067
yp14344	p401157
yp7217	p503952
yp9343	p1443107
yp247	p126469
yp20331	p1678455
yp5648	p1405876
yp8409	p2087039
yp3969	p1378467
yp4012	p14078
yp7499	p1984444
yp30242	p808168
yp9613	p1490800
yp18660	p2110082
yp2511	p880584
yp86267	p401178
yp36037	p721479
yp47641	p2190270
yp20136	p1619247
yp11197	p624879
yp13165	p209152
yp3736	p2050558
yp53892	p1306376
yp39576	p2220874
yp8763	p1114782
yp15484	p357923
yp9549	p88935
yp8792	p607154
yp90163	p1186285
yp14733	p1641284
yp40232	p484002
yp14793	p328481
yp9925	p1281525
yp15849	p357531
yp4814	p355573
yp20891	p376675
yp17216	p580683
yp27768	p1916521
yp20516	p2097643
yp3081	p2072121
yp20595	p1740319
yp27979	p409126
yp19184	p107017
yp88133	p856978
yp61621	p1093427
yp18238	p362
yp1552	p1653633
yp87210	p2177092
yp17312	p311568
yp23774	p404019
yp86384	p559475
yp19790	p1415422
yp18022	p1985506
yp50004	p103180
yp89315	p2262453
yp7130	p1675033
yp20275	p1401188
yp91044	p2742990
yp604	p165948
yp89259	p655311
yp12527	p607536
yp24795	p1186109
yp5045	p1923695
yp3980	p1216609
yp86486	p592230
yp87441	p961265
yp91425	p2712683
yp89169	p546305
yp15259	p1923758
yp90696	p285576
yp9624	p703812
yp9449	p650292
yp11267	p1905672
yp89565	p499955
yp86724	p101901
yp18149	p952675
yp41799	p571431
yp7469	p1926031
yp11177	p1663543
yp15545	p1891321
yp86966	p552491
yp11123	p739284
yp3626	p1904160
yp16664	p1568103
yp14462	p1524280
yp8718	p1505279
yp5972	p1931404
yp1416	p736438
yp544	p1231383
yp4825	p945982
yp87655	p2277015
yp3768	p83616
yp27893	p812490
yp20776	p439920
yp1538	p1991501
yp4882	p1963927
yp4811	p1720931
yp17041	p602707
yp9619	p1375105
yp88318	p2139347
yp88582	p380984
yp89553	p952417
yp11869	p871390
yp21064	p1827210
yp57990	p187720
yp26668	p686710
yp17220	p769885
yp42056	p575623
yp90550	p1715736
yp13679	p1719725
yp18552	p239830
yp4215	p63099
yp7541	p543764
yp65221	p2247842
yp89574	p1200729
yp16931	p222505
yp10607	p439656
yp22885	p1337442
yp41330	p231058
yp18964	p31882
yp13194	p1604287
yp61695	p2188653
yp3577	p2102108
yp86675	p895831
yp19675	p1691460
yp31660	p438502
yp7706	p424927
yp24016	p259600
yp60808	p2215216
yp87491	p677929
yp12151	p588061
yp11605	p1723833
yp11091	p1612908
