yp20396	1998-09-06
yp5839	2001-08-25
yp24381	1976-08-02
yp23470	1991-10-24
yp735	1957-01-14
yp27090	1976-04-05
yp23697	2007-07-30
yp41330	1963-10-11
yp86267	2002-07-06
yp499	2004-07-01
yp65126	1991-11-14
yp37821	1976-03-17
yp866	1959-11-07
yp544	1967-06-10
yp301	2008-04-05
yp51684	1969-02-14
yp4924	1996-05-20
yp565	1996-07-30
yp1381	1996-04-06
yp17122	1983-##-##
yp836	1987-06-22
yp574	1954-11-15
yp863	1959-10-14
yp570	1942-05-29
yp10218	1995-07-01
yp5972	1989-05-20
yp1606	1990-06-02
yp2279	1998-05-28
yp363	1980-11-07
yp1330	1949-09-18
yp1437	1995-12-25
yp1996	2009-12-03
yp748	1973-11-25
yp3234	1986-02-06
yp4980	1983-11-15
yp7541	1995-05-02
yp67853	2009-12-16
yp67872	1956-01-23
yp1677	1977-01-14
yp53720	1936-09-14
yp3577	1977-09-01
yp1166	1983-04-23
yp792	1981-09-01
yp3797	2003-02-03
yp1372	1968-04-16
yp1233	1991-11-06
yp838	2000-08-12
yp14169	1917-10-13
yp784	1937-01-21
yp67984	1961-10-13
yp6510	1965-##-##
yp8818	1995-01-02
yp1775	1994-03-06
yp9168	1936-01-09
yp10391	2001-09-07
yp873	1946-12-25
yp1588	1976-10-14
yp26292	2006-05-05
yp5791	2001-08-04
yp90696	1961-06-30
yp22873	1965-##-##
yp2260	2003-##-##
yp2571	2005-08-23
yp4335	1987-##-##
yp911	1957-05-12
yp49113	2003-01-12
yp629	1996-06-11
yp5853	1988-10-31
yp17041	2003-09-22
yp23154	1997-10-30
yp3434	1940-06-20
yp1605	1999-04-14
yp2004	1984-12-24
yp25765	1980-##-##
yp19579	1981-11-10
yp9766	1999-01-04
yp8286	2003-05-24
yp8025	1983-03-17
yp5495	2003-12-29
yp86724	1976-03-14
yp89838	1939-09-24
yp3231	2004-01-14
yp8216	1999-01-30
yp21179	2007-10-12
yp69312	1987-12-21
yp1234	1992-01-03
yp14035	1982-##-##
yp22072	1991-03-14
yp2933	2008-12-25
yp66111	1998-07-29
yp5724	1992-03-03
yp1389	1967-##-##
yp9776	2007-12-13
yp2350	2004-03-06
yp18736	1992-##-##
yp24470	1963-08-18
yp27018	1972-##-##
yp12539	1984-04-13
yp14730	1984-08-04
yp15344	1951-09-07
yp994	2004-12-28
yp4268	1985-05-16
yp15296	1920-09-10
yp13492	1952-10-23
yp5874	2005-02-20
yp18429	1984-##-##
yp49294	2004-##-##
yp39536	1968-03-20
yp4129	2004-05-09
yp17929	1996-01-29
yp509	1974-06-28
yp20998	1980-12-31
yp607	2000-02-16
yp3890	1982-07-23
yp87625	1981-##-##
yp13271	1968-08-26
yp877	1959-03-02
yp22905	1994-08-21
yp4546	1972-04-05
yp1342	2007-01-08
yp1738	1976-12-12
yp2677	1986-08-26
yp56367	2000-##-##
yp3344	1995-08-11
yp86627	1990-07-24
yp14867	1996-##-##
yp14194	2004-05-28
yp10320	1951-10-28
yp1196	1962-12-17
yp2094	1997-12-14
yp18660	1938-08-04
yp3319	1995-10-31
yp18272	1970-07-22
yp7774	1982-07-29
yp9319	1945-11-21
yp30633	1973-01-15
yp89835	1999-##-##
yp9033	1996-02-16
yp14479	1992-##-##
yp32246	2006-05-10
yp2407	1973-10-06
yp2968	1988-08-08
yp40191	1967-04-29
yp9728	1959-11-20
yp8913	2007-03-14
yp2848	1983-10-08
yp23774	1974-01-20
yp6104	1991-03-27
yp7554	2010-03-18
yp9691	1974-02-23
yp16977	1999-06-25
yp8219	1980-04-15
yp1957	1957-12-24
yp22394	2005-07-21
yp17313	1992-09-18
yp8558	1984-09-24
yp12481	1975-11-05
yp31753	1983-10-28
yp5264	1992-06-05
yp915	1942-11-09
yp7266	2000-07-03
yp21738	1980-11-09
yp30202	2005-##-##
yp24499	1999-03-13
yp89	1967-03-05
yp12862	2004-11-29
yp12406	1977-10-13
yp17627	2002-10-05
yp13399	2005-09-24
yp7174	1998-03-03
yp18870	2004-##-##
yp8468	1994-04-27
yp4290	1978-07-17
yp14212	1976-02-26
yp4085	1989-11-18
yp55674	2002-08-30
yp9132	2004-12-29
yp6641	1979-02-17
