yp6475	Kim Hyo-jin
yp1104045	Janis Tanaka
yp1259063	Tanu Roy
yp88411	Reha Erdem
yp977181	Denis Simpson
yp8506	Loren Avedon
yp8792	Khalil Kain
yp2253	Powers Boothe
yp87298	Jon Hess (director)
yp1330	Frank Morgan
yp911	Erich von Stroheim
yp27592	Bruce Timm
yp86850	Thomas Carter (film director)
yp9637	Isao Yamagata
yp1053098	Burt Wolf
yp22008	Kristen Schaal
yp17041	Gordon Jump
yp24556	Steve Purcell
yp52542	Franco Brusati
yp12023	Cullen Landis
yp90767	Michael Arata
yp88427	John Scagliotti
yp22893	Paul Bonifas
yp4872	Carolyn Lawrence
yp4290	Thayer David
yp20147	Vasilis Avlonitis
yp15462	Mirtha Legrand
yp88109	Yograj Bhat
yp14850	Kay Hughes
yp995958	Sylvia Massy
yp16621	Gina Hecht
yp17414	Qi Yuwu
yp282	Scott Glenn
yp66715	John C. Champion
yp11626	Emily Hampshire
yp50873	B. Unnikrishnan
yp49863	Otto Waalkes
yp87210	Dwain Esper
yp11088	Common (entertainer)
yp8636	Detlev Buck
yp33342	Tsai Ming-liang
yp41468	Pasquale Festa Campanile
yp12503	Monte Blue
yp6712	Thorley Walters
yp1046018	Tami Lane
yp1986	Mr. T
yp1385352	Americans in the United Kingdom
yp18847	Dylan Neal
yp8913	Gareth Hunt
yp18208	Michael C. Hall
yp9764	Rose Tapley
yp12770	Randal Kleiser
yp1055709	Sean Pendergrass
yp3253	Michael Lerner (actor)
yp1416	Dolph Lundgren
yp3067	Elizabeth Mitchell
yp76534	Henry Otto
yp33665	Fumihiko Shimo
yp5562	Peter McRobbie
yp16269	Edward Martindel
yp17002	Alex Schemmer
yp6541	Soha Ali Khan
yp91295	Gerald Rafshoon
yp1478	Nathan Lane
yp293	Judith O'Dea
yp10492	Laura Gemser
yp1273	Peter Riegert
yp4287	Arlene Dahl
yp16042	Dermot Walsh
yp87003	Sam Pillsbury
yp5472	Miles O'Keeffe
yp923434	Stuart Smith (actor)
yp4831	Barbara Howard
yp50598	Mano Murthy
yp22287	Katrina Bowden
yp117106	Nyima Funk
yp22270	Diva Zappa
yp3225	Helmut Dantine
yp17495	Sugith Varughese
yp86957	Peter Tewksbury
yp21385	Suhasini Maniratnam
yp3652	Kirin Kiki
yp36156	Yasuzo Masumura
yp15511	Peter Polycarpou
yp129138	Terry Willesee
yp1233	Gene Tierney
yp87098	Roland Suso Richter
yp88701	Scott Stewart (director)
yp55751	Mario Andreacchio
yp2375	Kay Johnson
yp7111	Masao Inoue (actor)
yp22888	Raoul Bhaneja
yp20448	Alan Fletcher
yp88721	Madhupal
yp15980	Rossif Sutherland
yp12778	Albert Gran
yp2011	Harold Ramis
yp13563	Sarah Danielle Madison
yp1738	Jack Cassidy
yp17035	Padmapriya Janakiraman
yp21827	Gary Kroeger
yp13948	Antoine Chappey
yp19140	Travis Willingham
yp1962	Rosemary Harris
yp20596	Tara (actress)
yp10957	Sky du Mont
yp1018365	William Boyde
yp1112377	Greg Cannom
yp88301	Tudor Giurgiu
yp20738	Liyana Jasmay
yp10516	Donyale Luna
yp15818	Tudi Wiggins
yp1079676	Oliver Page
yp18939	Maks Bajc
yp1884	John C. Reilly
yp10363	Dave O'Brien (actor)
yp59882	Robert Wiene
yp19096	Sudeep
yp10348	Maureen McCormick
yp19463	Lydia Mackay
yp12550	Alan Cassell
yp3270	Diane Kruger
yp363	Steve McQueen
yp7576	Jason Evers
yp8204	Wings Hauser
yp16697	Anne Consigny
yp18249	George Lloyd (actor)
yp8453	Jeong Chan
yp21703	Louise Huntington
yp11549	Sara Shane
yp15259	Nathalie Press
yp20917	Gregory Alan Williams
yp1277989	Nicki Richards
yp89844	Angelo Rizzoli
yp7882	Sheila Kennedy
yp18357	Kevin Schon
yp988337	Jonell Elliott
yp29116	Chris Morris (satirist)
yp65296	Jan Halldoff
yp19630	Graham McTavish
yp1006119	Jamie Silberhartz
yp20875	Michael Greyeyes
yp5466	Shefali Shah
yp11614	Linda Kelsey
yp10752	Chin Han
yp1032492	Stephen Semel
yp16432	Zelma O'Neal
yp940039	Jhoni Marchinko
yp967057	John Bixler
yp7662	Suresh Gopi
yp18677	Helen Parrish
yp11177	Cheryl Hines
yp11345	Clara Calamai
yp6121	Mario Pisu
yp13253	Paolo Rotondo
yp21764	Daniel Newman
yp2435	Minoru Chiaki
yp2113	Michael Lonsdale
yp19309	Vanessa Minnillo
yp45837	Steve Balderson
yp954585	Sarah Quintrell
yp389	Meg Ryan
yp2851	Ian McShane
yp10676	Ashokan (actor)
yp1179398	Ewa Ewart
yp3979	Luke Goss
yp655	Ben Affleck
yp1033053	Amber Hood
yp14791	Joan Evans (actress)
yp4846	Aishwarya Rai
yp24795	Hal Sutherland
yp19184	Matthew Betz
yp86813	Harold S. Bucquet
yp1093688	Shabbir Kumar
yp24680	Robert Mark Kamen
yp4408	Hayden Christensen
yp60991	Katja von Garnier
yp8381	Kay Kay Menon
yp89977	Bart Simpson (filmmaker)
yp7899	C. C. H. Pounder
yp40675	Tom Leopold
yp7024	Samm Levine
yp5833	Chris Haywood
yp65803	C. V. Sridhar
yp11723	Deborah Odell
yp9246	Victor Kilian
yp89667	Eddie Selzer
yp87874	Dave Meyers (director)
yp21866	Eileen Davidson
yp89267	Jeffrey Friedman (filmmaker)
yp21699	Fala Chen
yp1027632	Dominique Atkins
yp34656	Attila Dargay
yp17343	Sohini Pal
yp13619	Kevin Patrick Walls
yp15456	Chris O'Dowd
yp44402	A. R. Murugadoss
yp31620	Joseph Dougherty
yp19911	Indrani Dutta
yp14925	Ernie Adams (actor)
yp7753	Jason Lively
yp2855	Michael Badalucco
yp914086	Siddharth Kak
yp1212817	Onyeka Onwenu
yp10711	Anton Glanzelius
yp8608	Wayne Rogers
yp6973	Alan North
yp45630	George Waggner
yp944803	C. J. Graham
yp921387	Bruce Botnick
yp11309	Patharawarin Timkul
yp15660	Clio Goldsmith
yp33123	Pierre Falardeau
yp12862	John Drew Barrymore
yp44319	Kevin Falls
yp1086577	Sandy Johnson (director)
yp3364	Pierce Brosnan
yp1169608	Vivian Prescott
yp8558	Neil Hamilton (actor)
yp17134	Janice Lynde
yp1022527	Tom Bennett (actor)
yp16794	Richard Speight, Jr.
yp19553	William J. Butler
yp3387	Carolyn Dunn
yp9103	Jeetendra
yp1031077	Masasa Moyo
yp15829	Marie-Christine Adam
yp5680	Jason Gray-Stanford
yp30366	Andrew Adamson
yp1089	Sting (musician)
yp20290	Ai Maeda (actress)
yp90234	Edward Black (producer)
