yp10255	1989-##-##
yp10333	1983-##-##
yp10713	2009-##-##
yp11884	2003-01-25
yp12859	1987-11-11
yp12918	1971-##-##
yp1294	2001-08-03
yp13206	1961-26-11
yp1341	1998-05-22
yp13499	1992-03-05
yp13720	1992-##-##
yp14399	1995-##-##
yp15369	1969-07-18
yp15404	1988-07-27
yp16142	1981-06-21
yp16343	1988-01-07
yp1655	2000-05-21
yp18129	1960-09-04
yp18245	2000-03-03
yp18310	1989-03-21
yp19551	2006-##-##
yp19592	2000-10-16
yp19802	1997-10-19
yp20061	1979-03-19
yp2038	1975-##-##
yp20559	1978-07-14
yp2179	1973-10-06
yp2331	1981-11-25
yp24065	1979-##-##
yp25582	1978-##-##
yp28994	1984-##-##
yp3020	1945-12-14
yp33216	1982-##-##
yp38830	1914-03-51
yp4100	1987-09-11
yp43495	1954-12-10
yp5453	2002-03-27
yp56483	1961-06-03
yp57696	1972-02-19
yp5874	2005-02-20
yp60401	1994-10-16
yp60648	1971-01-02
yp76	1997-11-11
yp7733	2010-01-05
yp86316	1992-##-##
yp87507	2008-##-##
yp87587	1965-##-##
yp87942	2001-12-30
yp88026	2010-01-03
yp88059	1998-##-##
yp90186	2007-##-##
yp9080	1985-05-15
