yp10005	ym146201
yp1045	ym149339
yp1045	ym149542
yp1045	ym166934
yp1149	ym149106
yp1193	ym166243
yp14477	ym159797
yp1512	ym146909
yp1512	ym152431
yp1512	ym164441
yp1512	ym168620
yp1512	ym176626
yp1512	ym177260
yp16658	ym143583
yp1698	ym160504
yp19037	ym167523
yp2201	ym161270
yp22147	ym176367
yp2263	ym165747
yp2275	ym161540
yp23185	ym152473
yp23284	ym146073
yp23611	ym171273
yp23709	ym143583
yp23804	ym149556
yp24065	ym145065
yp24065	ym157390
yp24065	ym165406
yp24065	ym166654
yp24122	ym148540
yp24232	ym181707
yp24460	ym161557
yp24460	ym162703
yp24481	ym149235
yp24750	ym146894
yp25323	ym180604
yp25582	ym149424
yp25582	ym150626
yp25582	ym170462
yp25582	ym170463
yp25582	ym170464
yp25582	ym170465
yp25582	ym171685
yp25582	ym176403
yp26543	ym144903
yp26625	ym147534
yp26625	ym148454
yp26625	ym149435
yp26625	ym149650
yp26625	ym151545
yp26625	ym153069
yp26625	ym154252
yp26625	ym157774
yp26625	ym160098
yp26625	ym163518
yp26625	ym164876
yp26625	ym166893
yp26625	ym167248
yp26625	ym174237
yp26625	ym174374
yp26625	ym175990
yp26625	ym183740
yp26625	ym183759
yp26957	ym150394
yp27226	ym152974
yp27226	ym168803
yp27441	ym183974
yp27587	ym146037
yp28204	ym147093
yp28288	ym143166
yp28798	ym171737
yp28979	ym146774
yp29734	ym145087
yp29790	ym176905
yp29821	ym149850
yp29821	ym177443
yp29965	ym177092
yp30109	ym174224
yp30243	ym145198
yp30466	ym174317
yp30626	ym148156
yp32508	ym149318
yp32508	ym150958
yp32508	ym152167
yp32508	ym153657
yp32508	ym162743
yp32508	ym168372
yp33245	ym166725
yp33423	ym143871
yp33423	ym147250
yp334	ym162791
yp34567	ym145198
yp34800	ym170237
yp35435	ym161578
yp35488	ym179162
yp35863	ym157063
yp35863	ym163271
yp35957	ym152974
yp35957	ym168803
yp35962	ym179264
yp36164	ym155654
yp36626	ym148385
yp36769	ym170237
yp37050	ym171051
yp38460	ym166243
yp38830	ym147654
yp38830	ym149094
yp38830	ym149158
yp38830	ym149729
yp38830	ym153815
yp38830	ym157340
yp38830	ym158288
yp38830	ym165171
yp38830	ym174143
yp39346	ym177462
yp41097	ym151646
yp41097	ym152359
yp41097	ym152469
yp41097	ym152860
yp41097	ym154084
yp41097	ym154095
yp41097	ym154131
yp41097	ym154224
yp41097	ym154605
yp41097	ym155240
yp41097	ym155862
yp41097	ym156058
yp41097	ym157580
yp41097	ym158248
yp41097	ym160662
yp41097	ym161673
yp41097	ym162887
yp41097	ym164561
yp41097	ym164657
yp41097	ym164817
yp41097	ym165437
yp41097	ym165955
yp41097	ym168595
yp41097	ym168619
yp41097	ym168768
yp41097	ym168913
yp41097	ym169298
yp41097	ym169917
yp41097	ym170376
yp41097	ym170505
yp41097	ym170596
yp41097	ym170626
yp41097	ym170877
yp41097	ym170891
yp41097	ym171567
yp41097	ym171640
yp41097	ym171726
yp41097	ym171742
yp41097	ym171818
yp41097	ym173091
yp41097	ym175826
yp41097	ym183658
yp41097	ym183660
yp41097	ym183665
yp41097	ym183689
yp41097	ym183691
yp41097	ym183702
yp41097	ym183709
yp41097	ym183711
yp41097	ym183713
yp41097	ym183775
yp41097	ym183782
yp41097	ym183787
yp41097	ym183788
yp41097	ym183810
yp41097	ym183841
yp41097	ym183897
yp41097	ym183901
yp41097	ym183927
yp41097	ym184001
yp41226	ym145664
yp41319	ym167251
yp4280	ym171629
yp43254	ym179945
yp4730	ym171704
yp47571	ym144120
yp4805	ym150785
yp49281	ym146073
yp49639	ym180943
yp50172	ym157880
yp5060	ym146957
yp50829	ym146100
yp51213	ym180106
yp51213	ym180122
yp51468	ym156371
yp52926	ym156795
yp54054	ym161557
yp54374	ym165343
yp54439	ym142980
yp54439	ym159594
yp55062	ym163342
yp55400	ym163354
yp56483	ym161781
yp56483	ym163834
yp56483	ym163858
yp56483	ym163864
yp56483	ym163898
yp56483	ym164161
yp56483	ym165851
yp56483	ym171424
yp56483	ym175461
yp56483	ym175931
yp57397	ym166270
yp57608	ym176177
yp57696	ym145079
yp57696	ym179803
yp57696	ym181211
yp57720	ym157819
yp57990	ym174666
yp59642	ym171737
yp597	ym154534
yp60401	ym157316
yp60401	ym163917
yp60401	ym167026
yp60401	ym174095
yp61340	ym181785
yp62643	ym167592
yp65017	ym160504
yp65784	ym183755
yp67462	ym178569
yp67488	ym161911
yp70945	ym153231
yp70948	ym143674
yp72419	ym161911
yp74776	ym146237
yp74776	ym146492
yp76	ym143143
yp76	ym147450
yp76	ym150528
yp76	ym150577
yp76	ym151075
yp76	ym151824
yp76	ym160149
yp76	ym169802
yp76	ym170429
yp76	ym170813
yp76	ym183780
yp78300	ym157503
yp86487	ym163659
yp86487	ym174551
yp86603	ym144579
yp86773	ym155655
yp87129	ym156465
yp87720	ym156831
yp87986	ym183867
yp88026	ym157329
yp88026	ym160666
yp88026	ym160846
yp88918	ym146957
yp89383	ym144726
yp89383	ym144872
yp89383	ym152199
yp89383	ym171508
yp89383	ym173828
yp89560	ym150394
yp89578	ym145447
yp89579	ym145447
yp89580	ym146037
yp89600	ym161048
yp89600	ym164699
yp89606	ym165127
yp89643	ym143583
yp89650	ym160974
yp89657	ym161048
yp89662	ym148606
yp89677	ym178011
yp89688	ym182770
yp89694	ym149336
yp89734	ym156276
yp89775	ym153792
yp89790	ym156710
yp89825	ym183630
yp89837	ym170591
yp89838	ym162676
yp89858	ym144118
yp89859	ym144120
yp89860	ym144120
yp89870	ym145447
yp89889	ym144244
yp89905	ym174224
yp90103	ym158735
yp90104	ym158735
yp90118	ym171129
yp90118	ym182255
yp90134	ym161270
yp90146	ym174224
yp90149	ym146709
yp90149	ym160232
yp90149	ym168019
yp90149	ym174138
yp90149	ym177246
yp90149	ym177353
yp90186	ym146260
yp90186	ym147829
yp90186	ym151339
yp90186	ym155935
yp90186	ym162666
yp90186	ym170394
yp90186	ym173001
yp90203	ym147210
yp90264	ym158716
yp90333	ym167901
yp90424	ym149071
yp90429	ym160735
yp90438	ym184246
yp90515	ym150452
yp90515	ym150504
yp90515	ym159079
yp90515	ym177495
yp90562	ym162188
yp90592	ym152000
yp90629	ym152000
yp90630	ym152000
yp90636	ym169870
yp90672	ym152738
yp90761	ym154167
yp91024	ym159908
yp91080	ym161270
yp91090	ym180409
yp91151	ym163969
yp91229	ym165869
yp91233	ym165986
yp91314	ym168464
yp91339	ym168888
yp91364	ym169478
