yp100762	yl135217
yp10262	yl135984
yp11884	yl135065
yp13206	yl136885
yp13478	yl135178
yp13838	yl131668
yp14714	yl131355
yp16860	yl134596
yp1744	yl131212
yp17931	yl135776
yp1798	yl136124
yp18034	yl131425
yp18152	yl131299
yp18260	yl135111
yp1874	yl137977
yp19802	yl131212
yp20503	yl135447
yp2263	yl135423
yp2388	yl135672
yp29821	yl134978
yp3033	yl139476
yp3110	yl131668
yp33757	yl131674
yp3647	yl135065
yp38830	yl135743
yp4299	yl135111
yp43440	yl132256
yp45529	yl135065
yp4805	yl138032
yp4912	yl136285
yp4957	yl135956
yp5023	yl136168
yp5341	yl136291
yp6003	yl135129
yp6481	yl135118
yp7538	yl140052
yp7848	yl135311
yp86487	yl134978
yp87160	yl135239
yp9646	yl131485
yp9682	yl135503
